;Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas, ESP, 2024;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;Janeiro ;;;Total;;
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;
6;Bauru;XV;BAURU;35065;LINS;351700 Getulina;170;85;0;170;85;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351710 Glicério;10;0;1;10;0;1
6;Bauru;XV;BAURU;35065;LINS;351720 Guaiçara;24;4;1;24;4;1
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351730 Guaimbê;18;6;1;18;6;1
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351740 Guaíra;195;66;0;195;66;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351750 Guapiaçu;93;8;0;93;8;0
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;351760 Guapiara;5;0;0;5;0;0
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;351770 Guará;21;9;0;21;9;0
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;351780 Guaraçaí;3;0;0;3;0;0
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351790 Guaraci;4;0;0;4;0;0
15;São José do Rio Preto;XXX;JALES;35154;FERNANDÓPOLIS;351800 Guarani d'Oeste;1;0;0;1;0;0
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;351810 Guarantã;6;1;0;6;1;0
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;351820 Guararapes;119;43;0;119;43;0
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351830 Guararema;297;48;0;297;48;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351840 Guaratinguetá;803;447;1;803;447;1
